,POCKET_RMSD,LIGAND_RMSD
complex_1,2.0922675132751465,9.16874
step1_200.xyz_1,2.0922675132751465,9.12571
step2_200_2000_5.0_16930.xyz_1,1.5983401536941528,8.49626
step2_200_2000_5.0_2177.xyz_1,2.0350513458251958,8.58695
step2_200_2000_5.0_27766.xyz_1,2.239917278289795,9.08139
step2_200_2000_5.0_28005.xyz_1,1.8215621709823608,8.53439
step2_200_2000_5.0_4094.xyz_1,1.986507058143616,9.28702
step2_200_2000_5.0_47873.xyz_1,2.4811224937438965,9.58771
step2_200_2000_5.0_77285.xyz_1,1.9549198150634768,8.34277
step2_200_2000_5.0_85412.xyz_1,2.0154948234558105,7.86972
step2_200_2000_5.0_86398.xyz_1,2.2048163414001465,9.73375
step2_200_2000_5.0_86498.xyz_1,1.8117916584014893,8.90098
