,POCKET_RMSD,LIGAND_RMSD
complex_1,0.3100428283214569,9.20959
step1_200.xyz_1,0.3100428283214569,9.32633
step2_200_2000_5.0_16930.xyz_1,1.6938458681106567,9.50375
step2_200_2000_5.0_2177.xyz_1,2.0633881092071533,10.82869
step2_200_2000_5.0_27766.xyz_1,9.042221069335938,17.28039
step2_200_2000_5.0_28005.xyz_1,1.908901333808899,10.93656
step2_200_2000_5.0_4094.xyz_1,1.7833515405654907,8.11949
step2_200_2000_5.0_47873.xyz_1,2.1916747093200684,9.42654
step2_200_2000_5.0_77285.xyz_1,1.5687540769577026,9.09854
step2_200_2000_5.0_85412.xyz_1,1.849853277206421,10.68754
step2_200_2000_5.0_86398.xyz_1,1.203600287437439,8.98635
step2_200_2000_5.0_86498.xyz_1,1.561201810836792,9.57461
